rank,company_name,industry,sub_industry,bbd_qyxx_id
6,浙江水晶光电科技股份有限公司,新材料,新型无机非金属材料,daf616d9d0b84f94a06e0e22cdda8635
6,中航航空高科技股份有限公司,新材料,高性能复合材料,94d2a703075b42d682920d887b2d1698
6,山西太钢不锈钢股份有限公司,新材料,高端金属结构材料,f9541bb38619482ebbfb961beaed99f9
7,中国铝业股份有限公司,新材料,高端金属结构材料,382e2c8fa3454024962a464bf6df4bd8
7,启明星辰信息技术集团股份有限公司,新一代信息技术,下一代通信技术,bf72cc7126014abc941aa5b17d49b948
7,中航重机股份有限公司,新材料,高性能复合材料,59865d6feecd4f559a1336a713a9aa01
7,华能新能源股份有限公司,新能源,风电,18215b78d43c4671affc6ff335be2e96
7,大族激光科技产业集团股份有限公司,新材料,特种金属功能材料,f71e4b66eac04a7aa62922c051b752d9
7,上海华虹宏力半导体制造有限公司,新一代信息技术,集成电路,4e558a252acf4374a5c6ac63dc52fbe7
7,福建宁德核电有限公司,新能源,核电,d087d4aa811f48b6aa4998ec9b407491
7,浪潮集团有限公司,新一代信息技术,物联网,b9b197f1332b4277ac7cd0102bf57b8a
7,特变电工股份有限公司,新能源,光伏,81990727aebe44d0a8f63166b6444234
7,北京光环新网科技股份有限公司,新一代信息技术,云计算,0c94cdfe908246feb2a3633f391925ee
7,国家能源投资集团有限责任公司,新能源,氢能,dddfa3ff4c28454d87cca714215a55bd
8,深圳市惠程信息科技股份有限公司,新材料,高性能复合材料,631f83d4233b426099398a76956d08e7
8,厦门法拉电子股份有限公司,新材料,新型无机非金属材料,d9de6c7df78748599c02643a7d302946
8,浙江正泰新能源开发有限公司,新能源,光伏,ed7bbe3bcbe74984abcb636616bf2719
8,台山核电合营有限公司,新能源,核电,32dfc974f9ac45d49f9e9cd9792593dd
8,深圳市中兴微电子技术有限公司,新一代信息技术,集成电路,bf77cedbcc904866a07081451ef230f5
8,东软集团股份有限公司,新一代信息技术,物联网,b3a565c964a140ee95d4c59cbdb83ebe
8,立讯精密工业股份有限公司,新材料,特种金属功能材料,2c3a3db3539549af8a5b1a38951255ac
8,重庆钢铁股份有限公司,新材料,高端金属结构材料,1d056e947962424095c044eac7b34f69
8,新华三技术有限公司,新一代信息技术,云计算,8793d22cd4b542bc959905913996603f
8,江苏华昌化工股份有限公司,新能源,氢能,78a0d223798a4f84a31036c19ae991bb
8,南风化工集团股份有限公司,新材料,前沿新材料,e37ed59e96b843b187287be0aab8c4a8
8,卫宁健康科技集团股份有限公司,新一代信息技术,下一代通信技术,d6e33c03232e489d848ce3fae0900590
8,远景能源有限公司,新能源,风电,8076b2fb02e04386bef7624c04cc011c
9,冠昊生物科技股份有限公司,新材料,前沿新材料,55b469c093594e4a9cada3f5a7386bc5
9,木林森股份有限公司,新材料,新型无机非金属材料,2d5f3f6483f94da69a3fa44ff883134a
9,中科液态阳光（苏州）氢能科技发展有限公司,新能源,氢能,df825ab75f0d4a96a362b5857df8a7a7
9,华大半导体有限公司,新一代信息技术,集成电路,ab1bb89f1c2c4730b7298a0fbf18d8e7
9,江苏常铝铝业集团股份有限公司,新材料,高端金属结构材料,2704a74544524e7a9b3385b14d0c70e6
9,三门核电有限公司,新能源,核电,8ee37e8e3e2d4a24b1e1e8dd6d6a77cf
9,中国船舶重工集团有限公司,新一代信息技术,物联网,9689961b29e744019c336e7b6f16b01a
9,明阳智慧能源集团股份公司,新能源,风电,6a7478f31e234083b5e9ff7185eb1f18
9,宁波江丰电子材料股份有限公司,新材料,特种金属功能材料,ab8f03bb5eac4bb3826f2216fde28ed5
9,万国数据服务有限公司,新一代信息技术,云计算,a4bed09eb93f41ee8f9be0a0139a6cd0
9,江苏通润装备科技股份有限公司,新材料,先进高分子材料,900d2c5dfab847e08ab9ba0ab748f70c
9,通威股份有限公司,新能源,光伏,d4c71748c97446a19a3dfcc126ee2018
9,中材科技股份有限公司,新材料,高性能复合材料,03c83174fa3b4c2d818bb8789f07341a
9,北京千方科技股份有限公司,新一代信息技术,下一代通信技术,e8b80794d1504c7f8558a85a6aea50c7
10,中铁快运股份有限公司,新一代信息技术,物联网,23e1275d62d840a5b10b3aaca164eadf
